name,f1,f2,f3,f4,f1v,c1,c2,l1,l2,l3,n1,n2,n3,n4,t1,t2,t3,t4
housevotes,0.06134678387134921,1.0,1.0,1.0,0.025670555732395812,0.0034336286725448195,0.00946745562130169,0.014180392631633208,0.01293103448275862,0.00646551724137931,0.040948275862068964,0.4089571066875844,0.07758620689655171,0.040948275862068964,0.43103448275862066,0.06896551724137931,0.05172413793103448,0.75
heart,0.5688594915576592,0.8499309069045269,0.9851851851851852,0.9481481481481482,0.1777947721554125,0.008923940161777777,0.024390243902438935,0.164496967736816,0.1685185185185185,0.12777777777777777,0.21296296296296297,0.4917495017205528,0.4,0.27222222222222225,0.837037037037037,0.04814814814814815,0.014814814814814815,0.3076923076923077
australian,0.3166678467181548,0.44106722769672785,0.9710144927536232,0.9594202898550724,0.1597443566284918,0.008769101096647858,0.023972972299927786,0.21568760774330525,0.42681159420289855,0.2739130434782609,0.20072463768115942,0.49863100914019487,0.42028985507246375,0.33043478260869563,0.8434782608695652,0.020289855072463767,0.007246376811594203,0.35714285714285715
car,0.852718180938831,0.2638888888888889,0.5416666666666666,0.3888888888888889,0.4885397471954843,0.47039061881833544,0.646754770919548,0.1457993134310433,0.14424189814814814,0.13802083333333331,0.056857638888888895,0.7728129352086323,0.09809027777777776,0.08174189814814814,0.5972222222222222,0.003472222222222222,0.003472222222222222,1.0
marketing,0.9230849640587411,0.7283950617283951,0.9980124103160752,0.9980124103160752,0.6595846944107999,0.5056530069428014,0.7519813028034421,0.14562568864657527,0.10432421950746557,0.10181953332040591,0.0812326287893478,0.8026995517553377,0.1579406631762653,0.10026824381100123,0.42607135931743256,0.0018906340895869693,0.0011634671320535194,0.6153846153846154
spambase,0.5504379781296428,6.74029540117879e-07,0.9086360670002175,0.6554274526865347,0.10011698587311585,0.03256199393348336,0.08575778637734865,0.10463044966660286,0.11344355014139657,0.05220796171416141,0.07080704807483142,0.4702119757134598,0.1037633239068958,0.08375027191646725,0.5140308897106809,0.012399390907113336,0.0023928649118990647,0.19298245614035087
zoo,0.37714026312862436,0.0,0.19660537482319662,0.0,0.016671767430924304,0.4805482452665812,0.6770867460698329,0.0,0.0,0.0,0.014144271570014145,0.7504841360669702,0.014144271570014157,0.014144271570014143,0.17114568599717117,0.15841584158415842,0.099009900990099,0.625
dermatology,0.2665782925986993,0.0,0.3077281191806332,0.038640595903165736,0.026977485103134673,0.3813621549245942,0.6127016837325069,0.0009375238086487377,0.000931098696461825,0.0004655493482309125,0.023743016759776536,0.7266664376650676,0.03072625698324022,0.020949720670391064,0.38547486033519546,0.09497206703910614,0.008379888268156424,0.08823529411764706
tic-tac-toe,0.940185343513246,1.0,1.0,1.0,0.7733814721798474,0.06904601374920394,0.17214897430790677,0.24627722971253013,0.2839248434237996,0.30949895615866385,0.14457202505219208,0.5477391966135323,0.278705636743215,0.17484342379958245,0.954070981210856,0.009394572025052192,0.009394572025052192,1.0
mammographic,0.5037056552979192,0.8028169014084507,0.9518072289156626,0.9518072289156626,0.2097027872401418,0.0006032139521229274,0.0016708340826947499,0.20851917343815268,0.18072289156626506,0.12650602409638556,0.13012048192771083,0.4448395559789894,0.2578313253012048,0.1433734939759036,0.5060240963855421,0.006024096385542169,0.0012048192771084338,0.2
automobile,0.7316218973668162,0.00989973227366127,0.5073375262054508,0.033542976939203356,0.1320560041989065,0.4123589787478464,0.6084829113655948,0.13395388844945608,0.11844863731656186,0.11111111111111112,0.0649895178197065,0.7320341063915802,0.09643605870020962,0.07966457023060797,0.3710691823899371,0.15723270440251572,0.0440251572327044,0.28
letter,0.9101117344120304,0.16557641672572415,0.7724769230769232,0.6205923076923077,0.2560094975808356,0.7648317787349993,0.9201252656807922,0.06713357334730037,0.042736538461538465,0.04039807692307692,0.0055519230769230776,0.9256048206406978,0.006834615384615392,0.019403846153846153,0.09127307692307694,0.0007999999999999999,0.0006500000000000001,0.8125
movement_libras,0.8315357092129937,4.9494383560097435e-09,0.40259259259259267,0.003148148148148148,0.05536289991755079,0.6466406649785786,0.8578680203045685,0.06266752225589602,0.0661111111111111,0.05037037037037037,0.01870370370370371,0.8731454855792481,0.017037037037037052,0.030740740740740735,0.17185185185185187,0.25,0.02500000000000001,0.10000000000000003
monk-2,0.5417661097852037,0.6666666666666666,0.75,0.08333333333333333,0.21205750640375923,0.0022275279100180123,0.006153846153846176,0.2013544042352483,0.22453703703703703,0.14120370370370372,0.059027777777777776,0.4671166745481034,0.12037037037037035,0.047453703703703706,0.6712962962962963,0.013888888888888888,0.013888888888888888,1.0
german,0.7807949094094839,0.9786371237458193,0.998,0.996,0.43442694619046135,0.1187091007693073,0.27586206896551724,0.28737131550282635,0.421,0.3615,0.191,0.5703172527335907,0.388,0.313,0.79,0.02,0.001,0.05
iris,0.34480689603200076,0.022408963585434174,0.2288888888888889,0.06666666666666667,0.13608808954470988,0.08170416594551055,0.19999999999999996,0.08166947531299297,0.06888888888888889,0.1511111111111111,0.017777777777777778,0.4368680153651072,0.02666666666666669,0.05111111111111111,0.0911111111111111,0.02666666666666667,0.013333333333333334,0.5
tae,0.9049184688429778,0.8472345679012346,0.9161147902869757,0.891832229580574,0.672558090541929,0.0819252986895423,0.20026793316782812,0.3384190518891342,0.31346578366445915,0.37086092715231783,0.21412803532008828,0.5522038602834854,0.25165562913907286,0.3112582781456954,0.5364238410596026,0.033112582781456956,0.019867549668874173,0.6
coil2000,0.9594004440509886,0.0,0.9913459580533496,0.9390144573406638,0.4482532807969745,0.6738983447180651,0.8736140159901751,0.08452955999686344,0.059509264915495824,0.05956017104459377,0.04978619425778864,0.8832508893543012,0.09977601303196904,0.05793117491345958,0.26063938098147016,0.008654041946650377,0.002341681938505396,0.27058823529411763
